Metaphors;Psychotherapy;Podcasts;Subtitles
My mind goes;0.006364801715081203;0.0005619443273727095;0.00016055552210648844
To navigate;0.00667527984752419;0.005458887751620607;0.0002408332831597327
(Dis)oriented;0.012574364363940913;0.0007224998494791981;0.002408332831597327
Maze; 0.0013195320628826884;0.0003211110442129769;0.0005619443273727095
Pathway;0.00279430319198687;0.001123888654745419;0.0004816665663194654
Going in circles;0.0019404883277686596;0.00016055552210648844;0.0005619443273727095
Mapping;0.0031047813244298554;0.0003211110442129769;0.0004816665663194654
Exploration;0.0014747711291041813;0.0005619443273727095;0.0004816665663194654
New territory;0.0010866734635504494;0.0004816665663194654;0.0004816665663194654
Mental Space;0.0022509664602116453;0.002167499548437594;0.0
Dead end;0.0048124110528662755;0.0004013888052662211;0.0016055552210648843
Crossroads;0.0008538148642182102;0.00016055552210648844;0.0003211110442129769
Bypass, detour;0.0012419125297719422;0.0004816665663194654;0.0
Back of my mind;0.0072962361124101595;0.0020872217873843498;8.027776105324422e-05
Dark place; 0.0012419125297719422;0.0015252774600116403;0.0002408332831597327
