Metaphors;Psychotherapy;Podcasts;Subtitles
Piece of cake;0.0006985768824609466;0.0004013888052662211;0.0023972763556209995
Puzzle;0.0028719271834505584; 0.006181387601099805;0.004442012070709499
Burden;0.0014747734185286653; 0.002006944026331106;7.050812810649999e-05
"""Butterflies""";0.01723156310070335;0.006020832078993317;0.0069803046825435
Open book;0.00031047861442708743;0.0012041664157986635;0.0006345731529584999
Broken record;0.0006985768824609466;0.0008830553715856865;0.0005640650248519999
Cold feet;0.00038809826803385924;0.0002408332831597327;0.0019742275869819997
Wake-up call;0.00023285896082031555; 0.001766110743171373;0.0017627032026624996
Silver lining;0.0010090554968880342; 0.0016055552210648843;0.0011986381778104997
Busy bee;0.0;0.0004013888052662211;0.00014101625621299997
"""Chemistry""";0.013661059034791846;0.01083749774218797;0.0081084347322475
Pressure cooker;0.0008538161896744904; 0.0007224998494791981;0.00035254064053249996
Emotional rollercoaster;0.00015523930721354372; 0.0; 0.0
Mind’s eye;0.00031047861442708743;0.0008027776105324422;0.0006345731529584999
"""Struggling"""; 0.007761965360677185;0.004816665663194654;0.000846097537278
